record_type,model,task_id,indicator_id,run_index,candidate_evidence,quoted_text_span,confidence_level,error,n_runs,n_success,quote_stability,evidence_stability,confidence_stability,unique_quotes,unique_evidence,unique_confidence,mean_quote_stability,mean_evidence_stability,mean_confidence_stability,overall_stability,variability_label,status,mode
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,8,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,9,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,10,Fabricated governance control cited. [stability variant 2],This sentence does not appear in the municipal document. (run 1),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,11,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,12,Fabricated governance control cited. [stability variant 3],This sentence does not appear in the municipal document. (run 0),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,13,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,14,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,15,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,16,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,17,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,18,Fabricated governance control cited. [stability variant 1],This sentence does not appear in the municipal document.,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,19,Fabricated governance control cited. [stability variant 3],This sentence does not appear in the municipal document. (run 1),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,0,Document addresses d6_vendor_independence_01. [stability variant 4],"security updates.

Vendor contracts require 30-day notice before model weig (run 0)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,1,Document addresses d6_vendor_independence_01. [stability variant 3],"security updates.

Vendor contracts require 30-day notice before model weig (run 1)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,2,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,3,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,4,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,5,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,6,Document addresses d6_vendor_independence_01. [stability variant 4],"security updates.

Vendor contracts require 30-day notice before model weig (run 0)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,7,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,8,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,9,Document addresses d6_vendor_independence_01. [stability variant 1],"security updates.

Vendor contracts require 30-day notice before model weig",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,10,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,11,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,12,Document addresses d6_vendor_independence_01. [stability variant 4],"security updates.

Vendor contracts require 30-day notice before model weig (run 0)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,13,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,14,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,15,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,16,Document addresses d6_vendor_independence_01. [stability variant 1],"security updates.

Vendor contracts require 30-day notice before model weig",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,17,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,18,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d6_vendor,d6_vendor_independence_01,19,Document addresses d6_vendor_independence_01.,"security updates.

Vendor contracts require 30-day notice before model weig",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,0,Document addresses d5_monitoring_incidents_01. [stability variant 4],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 0)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,1,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,2,Document addresses d5_monitoring_incidents_01. [stability variant 2],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 2)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,3,Document addresses d5_monitoring_incidents_01. [stability variant 4],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 0)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,4,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,5,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,6,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,7,Document addresses d5_monitoring_incidents_01. [stability variant 4],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 1)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,8,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,9,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,10,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,11,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,12,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,13,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,14,Document addresses d5_monitoring_incidents_01. [stability variant 4],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 2)",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,15,Document addresses d5_monitoring_incidents_01. [stability variant 4],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 0)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,16,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,17,Document addresses d5_monitoring_incidents_01. [stability variant 3],"me.

## 5. Risk and incidents

AI-related risks are entered in the co (run 2)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,18,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d5_incidents,d5_monitoring_incidents_01,19,Document addresses d5_monitoring_incidents_01.,"me.

## 5. Risk and incidents

AI-related risks are entered in the co",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,0,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,1,No explicit evidence identified. [stability variant 1],synthetic variant 1,high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,2,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,3,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,4,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,5,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,6,No explicit evidence identified.,,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,7,No explicit evidence identified. [stability variant 2],synthetic variant 2,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,8,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,9,No explicit evidence identified. [stability variant 3],synthetic variant 3,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,10,No explicit evidence identified.,,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,11,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,12,No explicit evidence identified. [stability variant 1],synthetic variant 1,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,13,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,14,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,15,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,16,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,17,No explicit evidence identified. [stability variant 1],synthetic variant 1,high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,18,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d2_miss,d2_oversight_design_01,19,No explicit evidence identified.,,high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,0,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,1,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,2,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,3,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,4,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,5,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,6,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,7,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,8,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,9,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,10,Document addresses d6_vendor_independence_01. [stability variant 1],"l security team

## Vendor independence

Secondary supplier evaluation schedule",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,11,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,12,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,13,Document addresses d6_vendor_independence_01. [stability variant 2],"l security team

## Vendor independence

Secondary supplier evaluation schedule (run 1)",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,14,Document addresses d6_vendor_independence_01. [stability variant 2],"l security team

## Vendor independence

Secondary supplier evaluation schedule (run 2)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,15,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,16,Document addresses d6_vendor_independence_01. [stability variant 4],"l security team

## Vendor independence

Secondary supplier evaluation schedule (run 1)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,17,Document addresses d6_vendor_independence_01.,"l security team

## Vendor independence

Secondary supplier evaluation schedule",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,18,Document addresses d6_vendor_independence_01. [stability variant 2],"l security team

## Vendor independence

Secondary supplier evaluation schedule (run 0)",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,procurement_d6_vendor,d6_vendor_independence_01,19,Document addresses d6_vendor_independence_01. [stability variant 1],"l security team

## Vendor independence

Secondary supplier evaluation schedule",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,0,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,1,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,2,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,3,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,4,Document addresses d6_infrastructure_01. [stability variant 1],"luster in municipal data centre (EU hosting)
- No public cloud inferenc",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,5,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,6,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,7,Document addresses d6_infrastructure_01. [stability variant 1],"luster in municipal data centre (EU hosting)
- No public cloud inferenc",low,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,8,Document addresses d6_infrastructure_01. [stability variant 3],"luster in municipal data centre (EU hosting)
- No public cloud inferenc (run 2)",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,9,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,10,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,11,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,12,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,13,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,14,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,15,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,16,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,17,Document addresses d6_infrastructure_01.,"luster in municipal data centre (EU hosting)
- No public cloud inferenc",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,18,Document addresses d6_infrastructure_01. [stability variant 4],"luster in municipal data centre (EU hosting)
- No public cloud inferenc (run 0)",medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d6_infra,d6_infrastructure_01,19,Document addresses d6_infrastructure_01. [stability variant 2],"luster in municipal data centre (EU hosting)
- No public cloud inferenc (run 1)",high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,0,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,1,No explicit evidence identified.,,high,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,2,No explicit evidence identified. [stability variant 3],synthetic variant 3,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,3,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,4,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,5,No explicit evidence identified.,,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,tech_d2_miss,d2_intervention_01,6,No explicit evidence identified. [stability variant 4],synthetic variant 4,high,,,,,,,,,,,,,,,,
